legislator,role,district,party,residence,gender,desk_number,profession,notes,session_name,session_year,regular
"Stanard, A. W.",NA,26,Democrat,Linn,Male,NA,NA,NA,1876 Session,1876,TRUE
Straight,NA,7,Democrat,Clackamas,Male,NA,NA,NA,1876 Session,1876,TRUE
"Stump, J. B.",NA,48,Independent,Polk,Male,NA,NA,NA,1876 Session,1876,TRUE
"Sumner, John",NA,30,Democrat,Linn,Male,NA,NA,NA,1876 Session,1876,TRUE
"Tibbetts, Gideon",NA,42,Republican,Multnomah,Male,NA,NA,NA,1876 Session,1876,TRUE
"Tozier, C. T.",NA,57,Republican,Washington,Male,NA,NA,NA,1876 Session,1876,TRUE
"Weatherford, James Knox",Speaker,28,Democrat,"Albany, Linn",Male,NA,NA,NA,1876 Session,1876,TRUE
"Will, Henry",NA,9,Republican,Clackamas,Male,NA,NA,NA,1876 Session,1876,TRUE
"Wilson, R. W.",NA,10,Democrat,Clatsop,Male,NA,NA,NA,1876 Session,1876,TRUE
"Winnegar, F.",NA,18,Republican,Grant,Male,NA,NA,NA,1876 Session,1876,TRUE
"Blake, H.",NA,13,Republican,"Coos, Curry",Male,NA,NA,NA,1874 Session,1874,TRUE
"Bradshaw, E. C.",NA,56,Democrat,Yamhill,Male,NA,NA,NA,1874 Session,1874,TRUE
"Brown, W. C.",NA,47,Independent,Polk,Male,NA,NA,NA,1874 Session,1874,TRUE
"Bruce, James",NA,3,Independent,Benton,Male,NA,NA,NA,1874 Session,1874,TRUE
"Butler, T. L.",NA,45,Independent,Polk,Male,NA,NA,NA,1874 Session,1874,TRUE
"Chambers, James",NA,5,Republican,Benton,Male,NA,NA,NA,1874 Session,1874,TRUE
"Chandler, C. G.",NA,1,Democrat,Baker,Male,NA,NA,NA,1874 Session,1874,TRUE
"Cornell, William",NA,39,Republican,Multnomah,Male,NA,NA,NA,1874 Session,1874,TRUE
"Cranston, Warren",NA,35,Republican,Marion,Male,NA,NA,NA,1874 Session,1874,TRUE
"Crawford, G. F.",NA,31,Democrat,Linn,Male,NA,NA,NA,1874 Session,1874,TRUE
"Curl, Bartlett",NA,18,Independent,Grant,Male,NA,NA,NA,1874 Session,1874,TRUE
"Darst, William",NA,36,Republican,Marion,Male,NA,NA,NA,1874 Session,1874,TRUE
"Deane, W. R.",NA,10,Republican,"Clatsop, Tillamook",Male,NA,NA,NA,1874 Session,1874,TRUE
"Doak, A. J.",NA,25,Democrat,Lane,Male,NA,NA,NA,1874 Session,1874,TRUE
"Drain, John C.",Speaker,15,Independent,Douglas,Male,NA,NA,NA,1874 Session,1874,TRUE
"Dufur, E. B.",NA,53,Independent,Wasco,Male,NA,NA,NA,1874 Session,1874,TRUE
"Dully, John P.",NA,12,Republican,Coos,Male,NA,NA,NA,1874 Session,1874,TRUE
"Fidler, WIlliam",NA,22,Democrat,Josephine,Male,NA,NA,NA,1874 Session,1874,TRUE
"Galloway, William",NA,57,Democrat,"McMinnville, Yamhill",Male,NA,NA,NA,1874 Session,1874,TRUE
"Gearin, John M.",NA,43,Independent,Multnomah,Male,NA,NA,NA,1874 Session,1874,TRUE
"Gilbert, A. N.",NA,38,Republican,Marion,Male,NA,NA,NA,1874 Session,1874,TRUE
"Hayes, R. B.",NA,24,Democrat,Lane,Male,NA,NA,NA,1874 Session,1874,TRUE
"Jackson, U.",NA,51,Independent,Umatilla,Male,NA,NA,NA,1874 Session,1874,TRUE
"Jewett, R. S.",NA,40,Independent,Multnomah,Male,NA,NA,NA,1874 Session,1874,TRUE
"Johnson, Jacob",NA,41,Independent,Multnomah,Male,NA,NA,NA,1874 Session,1874,TRUE
"Kelly, P.",NA,44,Independent,Multnomah,Male,NA,NA,NA,1874 Session,1874,TRUE
"Kelly, W. J.",NA,4,Republican,Benton,Male,NA,NA,NA,1874 Session,1874,TRUE
"Lame, Joseph",NA,31,Independent,Linn,Male,NA,NA,NA,1874 Session,1874,TRUE
"Laughlin, Lee",NA,55,Independent,Yamhill,Male,NA,NA,NA,1874 Session,1874,TRUE
"Ledgerwood, Thomas",NA,16,Independent,Douglas,Male,NA,NA,NA,1874 Session,1874,TRUE
"Lee, S. P.",NA,8,Republican,Clackamas,Male,NA,NA,NA,1874 Session,1874,TRUE
"Matlock, J. D.",NA,27,Democrat,Lane,Male,NA,NA,NA,1874 Session,1874,TRUE
"Matthieu, F. X.",NA,37,Democrat,Marion,Male,NA,NA,NA,1874 Session,1874,TRUE
"Mays, Robert",NA,54,Independent,Wasco,Male,NA,NA,NA,1874 Session,1874,TRUE
"McClung, John",NA,23,Republican,Lane,Male,NA,NA,NA,1874 Session,1874,TRUE
"McGugin, Henry",NA,9,Democrat,Clackamas,Male,NA,NA,NA,1874 Session,1874,TRUE
"Noyer, P. S.",NA,6,Democrat,Clackamas,Male,NA,NA,NA,1874 Session,1874,TRUE
"Partlow, J. M.",NA,52,Independent,Umatilla,Male,NA,NA,NA,1874 Session,1874,TRUE
"Plymale, WIlliam J.",NA,19,Democrat,Jackson,Male,NA,NA,NA,1874 Session,1874,TRUE
"Reed, C. A.",NA,33,Republican,Marion,Male,NA,NA,NA,1874 Session,1874,TRUE
"Reed, J. M.",NA,7,Democrat,Clackamas,Male,NA,NA,NA,1874 Session,1874,TRUE
"Riddle, G. W.",NA,14,Independent,Douglas,Male,NA,NA,NA,1874 Session,1874,TRUE
"Rinearson, J. S.",NA,11,Independent,Colombia,Male,NA,NA,NA,1874 Session,1874,TRUE
"Roe, T.",NA,50,Independent,Umatilla,Male,NA,NA,NA,1874 Session,1874,TRUE
"Ross, W. W.",NA,49,Republican,Union,Male,NA,NA,NA,1874 Session,1874,TRUE
"Shedd, Frank",NA,30,Independent,Linn,Male,NA,NA,NA,1874 Session,1874,TRUE
"Shelton, Harvey",NA,29,Democrat,Linn,Male,NA,NA,NA,1874 Session,1874,TRUE
"Simpson, David",NA,34,Republican,Marion,Male,NA,NA,NA,1874 Session,1874,TRUE
"Stanard, A. W.",NA,32,Democrat,Linn,Male,NA,NA,NA,1874 Session,1874,TRUE
"Stearns, D. W.",NA,17,Independent,Douglas,Male,NA,NA,NA,1874 Session,1874,TRUE
"Stott, R.",NA,42,Independent,Multnomah,Male,NA,NA,NA,1874 Session,1874,TRUE
"Stump, David",NA,46,Independent,Polk,Male,NA,NA,NA,1874 Session,1874,TRUE
"Van Riper, G. B.",NA,20,Democrat,Jackson,Male,NA,NA,NA,1874 Session,1874,TRUE
"Wassom, Jonathan",NA,28,Independent,Linn,Male,NA,NA,NA,1874 Session,1874,TRUE
"Wilson, J. C.",NA,2,Democrat,Baker,Male,NA,NA,NA,1874 Session,1874,TRUE
"Wright, Durham",NA,48,Democrat,Union,Male,NA,NA,NA,1874 Session,1874,TRUE
"Wright, Thomas",NA,21,Democrat,Jackson,Male,NA,NA,NA,1874 Session,1874,TRUE
"Allen, John C.",NA,NA,Republican,Polk,Male,NA,NA,NA,1872 Session,1872,TRUE
"Andrews, O. D.",NA,NA,Democrat,Union,Male,NA,NA,NA,1872 Session,1872,TRUE
"Barin, L. T.",NA,NA,Republican,Clackamas,Male,NA,NA,NA,1872 Session,1872,TRUE
"Biles, J. D.",NA,NA,Republican,Multnomah,Male,NA,NA,NA,1872 Session,1872,TRUE
"Blakely, James",NA,NA,Democrat,Linn,Male,NA,NA,NA,1872 Session,1872,TRUE
"Burbank, A. R.",NA,NA,Republican,Yamhill,Male,NA,NA,NA,1872 Session,1872,TRUE
"Bushey, D.",NA,NA,Republican,Douglas,Male,NA,NA,NA,1872 Session,1872,TRUE
"Caples, J. F.",NA,NA,Republican,Multnomah,Male,NA,NA,NA,1872 Session,1872,TRUE
"Clow, R.",NA,NA,Democrat,Polk,Male,NA,NA,NA,1872 Session,1872,TRUE
"Collier, George H.",NA,NA,Republican,Washington,Male,NA,NA,NA,1872 Session,1872,TRUE
"Congle, J. B.",NA,NA,Republican,Multnomah,Male,NA,NA,NA,1872 Session,1872,TRUE
"Cooper, James T.",NA,NA,Republican,Douglas,Male,NA,NA,NA,1872 Session,1872,TRUE
"Corwin, Samuel",NA,NA,Republican,"Clatsop, Columbia, Tillamook",Male,NA,NA,NA,1872 Session,1872,TRUE
"Craner, N. H.",NA,NA,Democrat,Linn,Male,NA,NA,NA,1872 Session,1872,TRUE
"Crawford, J. D.",NA,NA,Republican,Clackamas,Male,NA,NA,NA,1872 Session,1872,TRUE
"Crooks, J. T.",NA,NA,Democrat,Linn,Male,NA,NA,NA,1872 Session,1872,TRUE
"Curran, James",NA,NA,Democrat,Uamtilla,Male,NA,NA,NA,1872 Session,1872,TRUE
"Darst, William",NA,NA,Republican,Marion,Male,NA,NA,NA,1872 Session,1872,TRUE
"Downing, John",NA,NA,Republican,Marion,Male,NA,NA,NA,1872 Session,1872,TRUE
"Engle, Joseph",NA,NA,Republican,Marion,Male,NA,NA,NA,1872 Session,1872,TRUE
"Gingles, James",NA,NA,Republican,Benton,Male,NA,NA,NA,1872 Session,1872,TRUE
"Grant, R.",NA,NA,Democrat,Wasco,Male,NA,NA,NA,1872 Session,1872,TRUE
"Harrison, T. R.",NA,NA,Republican,Yamhill,Male,NA,NA,NA,1872 Session,1872,TRUE
"Hirsch, Sol",NA,NA,Republican,Multnomah,Male,NA,NA,NA,1872 Session,1872,TRUE
"Hodgkins, Thomas",NA,NA,Democrat,Columbia,Male,NA,NA,NA,1872 Session,1872,TRUE
"Johnson, S. R.",NA,NA,Republican,Grant,Male,NA,NA,NA,1872 Session,1872,TRUE
"LaDow, George A.",NA,NA,Democrat,Umatilla,Male,NA,NA,NA,1872 Session,1872,TRUE
"Langell, Nathaniel",NA,NA,Republican,Jackson,Male,NA,NA,NA,1872 Session,1872,TRUE
"Mallory, Rufus",Speaker,NA,Republican,Marion,Male,NA,NA,NA,1872 Session,1872,TRUE
"Martin, N.",NA,NA,Republican,Lane,Male,NA,NA,NA,1872 Session,1872,TRUE
"Mason, Eli C.",NA,NA,Democrat,Jackson,Male,NA,NA,NA,1872 Session,1872,TRUE
"Matlock, N. N.",NA,NA,Republican,Clackamas,Male,NA,NA,NA,1872 Session,1872,TRUE
"Onstein, J. B.",NA,NA,Democrat,Baker,Male,NA,NA,NA,1872 Session,1872,TRUE
"Patton, T. M.",NA,NA,Republican,Marion,Male,NA,NA,NA,1872 Session,1872,TRUE
"Powers, A. S.",NA,NA,Republican,Lane,Male,NA,NA,NA,1872 Session,1872,TRUE
"Riddle, G. W.",NA,NA,Republican,Douglas,Male,NA,NA,NA,1872 Session,1872,TRUE
"Riley, M.",NA,NA,Republican,"Coos, Curry",Male,NA,NA,NA,1872 Session,1872,TRUE
"Shelton, H.",NA,NA,Democrat,Linn,Male,NA,NA,NA,1872 Session,1872,TRUE
"Simpson, Benjamin",NA,NA,Democrat,Benton,Male,NA,NA,NA,1872 Session,1872,TRUE
"Stephenson, T. J.",NA,NA,Democrat,Wasco,Male,NA,NA,NA,1872 Session,1872,TRUE
"Stott, Thomas A.",NA,NA,Republican,Washington,Male,NA,NA,NA,1872 Session,1872,TRUE
"Thornbury, C. N.",NA,NA,Republican,Grant,Male,NA,NA,NA,1872 Session,1872,TRUE
"Waldon, A. L.",NA,NA,Democrat,Josephine,Male,NA,NA,NA,1872 Session,1872,TRUE
"Walker, E.",NA,NA,Republican,Jackson,Male,NA,NA,NA,1872 Session,1872,TRUE
"Washburn, C. W.",NA,NA,Republican,Lane,Male,NA,NA,NA,1872 Session,1872,TRUE
"West, John",NA,NA,Republican,Clatsop,Male,NA,NA,NA,1872 Session,1872,TRUE
"White, J. H.",NA,NA,Republican,Polk,Male,NA,NA,NA,1872 Session,1872,TRUE
"Willoughby, R. B.",NA,NA,Democrat,Linn,Male,NA,NA,NA,1872 Session,1872,TRUE
"Wright, Dunham",NA,NA,Democrat,"Baker, Union",Male,NA,NA,NA,1872 Session,1872,TRUE
"Alexander, W. F.",NA,NA,Democrat,Linn,Male,NA,NA,NA,1870 Session,1870,TRUE
"Amis, L. F.",NA,NA,Democrat,Lane,Male,NA,NA,NA,1870 Session,1870,TRUE
"Apperson, J. T.",NA,NA,Republican,Clackamas,Male,NA,NA,NA,1870 Session,1870,TRUE
"Burnett, A. J.",NA,NA,Democrat,Jackson,Male,NA,NA,NA,1870 Session,1870,TRUE
"Caldwell, C. M.",NA,NA,Democrat,Douglas,Male,NA,NA,NA,1870 Session,1870,TRUE
"Carson, J. C.",NA,NA,Republican,Multnomah,Male,NA,NA,NA,1870 Session,1870,TRUE
"Clark, W. H.",NA,NA,Democrat,Grant,Male,NA,NA,NA,1870 Session,1870,TRUE
"Comegys, W.",NA,NA,Democrat,Polk,Male,NA,NA,NA,1870 Session,1870,TRUE
"Davenport, T. W.",NA,NA,Republican,Marion,Male,NA,NA,NA,1870 Session,1870,TRUE
"Dorris, George B.",NA,NA,Democrat,"Eugene, Lane",Male,NA,NA,NA,1870 Session,1870,TRUE
"Drain, J. C.",NA,NA,Democrat,Douglas,Male,NA,NA,NA,1870 Session,1870,TRUE
"Dunbar, W. R.",NA,NA,Republican,Marion,Male,NA,NA,NA,1870 Session,1870,TRUE
"Dunn, W. J.",NA,NA,Republican,Benton,Male,NA,NA,NA,1870 Session,1870,TRUE
"DuShiel, F. A.",NA,NA,Democrat,Umatilla,Male,NA,NA,NA,1870 Session,1870,TRUE
"Earhart, R. P.",NA,NA,Republican,Marion,Male,NA,NA,NA,1870 Session,1870,TRUE
"Elkins, W. S.",NA,NA,Democrat,Linn,Male,NA,NA,NA,1870 Session,1870,TRUE
"Fulton, J.",NA,NA,Democrat,Wasco,Male,NA,NA,NA,1870 Session,1870,TRUE
"Grant, R. J.",NA,NA,Democrat,Polk,Male,NA,NA,NA,1870 Session,1870,TRUE
"Hare, W. D.",NA,NA,Republican,Washington,Male,NA,NA,NA,1870 Session,1870,TRUE
"Harrison, J. M.",NA,NA,Republican,Marion,Male,NA,NA,NA,1870 Session,1870,TRUE
"Hayden, B.",Speaker,NA,Democrat,Polk,Male,NA,NA,NA,1870 Session,1870,TRUE
"Helm, George R.",NA,NA,Democrat,Linn,Male,NA,NA,NA,1870 Session,1870,TRUE
"Holman, George P.",NA,NA,Republican,Marion,Male,NA,NA,NA,1870 Session,1870,TRUE
Hunter J. T.,NA,NA,Democrat,Union,Male,NA,NA,NA,1870 Session,1870,TRUE
"Hussey, A.",NA,NA,Republican,Yamhill,Male,NA,NA,NA,1870 Session,1870,TRUE
"Hutchinson, Joseph C.",NA,NA,Democrat,Douglas,Male,NA,NA,NA,1870 Session,1870,TRUE
"Kelly, W. J.",NA,NA,Republican,Benton,Male,NA,NA,NA,1870 Session,1870,TRUE
"Lockhart, F. G.",NA,NA,Democrat,"Coos, Curry",Male,NA,NA,NA,1870 Session,1870,TRUE
"Loughlin, L.",NA,NA,Republican,Yamhill,Male,NA,NA,NA,1870 Session,1870,TRUE
"McCoy, J. M.",NA,NA,Democrat,Grant,Male,NA,NA,NA,1870 Session,1870,TRUE
"McLain, J. R.",NA,NA,Democrat,"Baker, Union",Male,NA,NA,NA,1870 Session,1870,TRUE
"Mills, W. A.",NA,NA,Republican,Washington,Male,NA,NA,NA,1870 Session,1870,TRUE
"Munkers, Thomas",NA,NA,Democrat,Linn,Male,NA,NA,NA,1870 Session,1870,TRUE
"Olney, Cyrus",NA,NA,Republican,Clatsop,Male,NA,NA,NA,1870 Session,1870,TRUE
"O'Regan, D.",NA,NA,Republican,Multnomah,Male,NA,NA,NA,1870 Session,1870,TRUE
"Ostrander, J.",NA,NA,Democrat,Linn,Male,NA,NA,NA,1870 Session,1870,TRUE
"Paquet, Peter",NA,NA,Republican,Clackamas,Male,NA,NA,NA,1870 Session,1870,TRUE
"Porter, H.",NA,NA,Democrat,Baker,Male,NA,NA,NA,1870 Session,1870,TRUE
"Quimby, L. P. W.",NA,NA,Republican,Multnomah,Male,NA,NA,NA,1870 Session,1870,TRUE
"Rader, J.",NA,NA,Democrat,Jackson,Male,NA,NA,NA,1870 Session,1870,TRUE
"Savage, O. S.",NA,NA,Democrat,Wasco,Male,NA,NA,NA,1870 Session,1870,TRUE
"Starkweather, W. A.",NA,NA,Republican,Clackamas,Male,NA,NA,NA,1870 Session,1870,TRUE
"Thompson, J.",NA,NA,Democrat,Umatilla,Male,NA,NA,NA,1870 Session,1870,TRUE
"Waldron, A. L.",NA,NA,Democrat,Josephine,Male,NA,NA,NA,1870 Session,1870,TRUE
"Wells, J.",NA,NA,Democrat,Jackson,Male,NA,NA,NA,1870 Session,1870,TRUE
"Whalley, John W.",NA,NA,Republican,Multnomah,Male,NA,NA,NA,1870 Session,1870,TRUE
"Whiteaker, John",NA,NA,Democrat,Lane,Male,NA,NA,NA,1870 Session,1870,TRUE
"Alexander, J. C.",NA,3,Republican,Benton,Male,NA,NA,NA,1868 Session,1868,TRUE
"Alexander, W. F.",NA,23,Democrat,Linn,Male,NA,NA,NA,1868 Session,1868,TRUE
"Applegate, James",NA,10,Republican,Douglas,Male,NA,NA,NA,1868 Session,1868,TRUE
"Beers, R.",NA,1,Democrat,Baker,Male,NA,NA,NA,1868 Session,1868,TRUE
"Benson, D. R.",NA,2,NA,"Baker, Union",Male,NA,NA,NA,1868 Session,1868,TRUE
"Brown, W. W.",NA,42,Republican,Yamhill,Male,NA,NA,NA,1868 Session,1868,TRUE
"Bryant, John",NA,21,Democrat,Linn,Male,NA,NA,NA,1868 Session,1868,TRUE
"Burnett, G. W.",NA,43,Republican,Yamhill,Male,NA,NA,NA,1868 Session,1868,TRUE
"Butler, E. W.",NA,38,Democrat,Wasco,Male,NA,NA,NA,1868 Session,1868,TRUE
"Chapman, W. W.",NA,31,Democrat,Multnomah,Male,NA,NA,NA,1868 Session,1868,TRUE
"Cox, Isaac",NA,16,Democrat,Josephine,Male,NA,NA,NA,1868 Session,1868,TRUE
"Crooks, John T",NA,20,Democrat,Linn,Male,NA,NA,NA,1868 Session,1868,TRUE
"Davenport, T. W.",NA,27,Republican,Marion,Male,NA,NA,NA,1868 Session,1868,TRUE
"Davis, T. A.",NA,31,Democrat,Multnomah,Male,NA,NA,NA,1868 Session,1868,TRUE
"Denny, John F",NA,25,Republican,Marion,Male,NA,NA,NA,1868 Session,1868,TRUE
"Flook, John G.",NA,8,Republican,Douglas,Male,NA,NA,NA,1868 Session,1868,TRUE
"Garrett, J. D.",NA,4,Republican,Clackamas,Male,NA,NA,NA,1868 Session,1868,TRUE
"Gazley, James F",NA,9,Republican,Douglas,Male,NA,NA,NA,1868 Session,1868,TRUE
"Gilfrey, H. H.",NA,18,Democrat,Lane,Male,NA,NA,NA,1868 Session,1868,TRUE
"Grant, F. J.",NA,33,Democrat,Polk,Male,NA,NA,NA,1868 Session,1868,TRUE
"Gray, Thomas E.",NA,12,Republican,Grant,Male,NA,NA,NA,1868 Session,1868,TRUE
"Hoxter, W. D.",NA,7,Republican,"Columbia, Clatsop, Tillamook",Male,NA,NA,NA,1868 Session,1868,TRUE
"Jackson, Edward",NA,41,Republican,Washington,Male,NA,NA,NA,1868 Session,1868,TRUE
"Johnson, B. B.",NA,22,Democrat,Linn,Male,NA,NA,NA,1868 Session,1868,TRUE
"Kirk, A. L.",NA,36,Democrat,Umatilla,Male,NA,NA,NA,1868 Session,1868,TRUE
"Lichtenthaler, J. B.",NA,26,Republican,Marion,Male,NA,NA,NA,1868 Session,1868,TRUE
"Loudon, J. L.",NA,15,Democrat,Jackson,Male,NA,NA,NA,1868 Session,1868,TRUE
"Minto, John, IV",NA,28,Republican,"Marion, Salem",Male,NA,NA,NA,1868 Session,1868,TRUE
"Neal, R. W.",NA,11,NA,Grant,Male,NA,NA,NA,1868 Session,1868,TRUE
"Pendergast, Richard",NA,6,Republican,"Coos, Curry",Male,NA,NA,NA,1868 Session,1868,TRUE
"Powell, James",NA,32,Democrat,Multnomah,Male,NA,NA,NA,1868 Session,1868,TRUE
"Rhinehart, H.",NA,37,Democrat,Union,Male,NA,NA,NA,1868 Session,1868,TRUE
"Ryan, George J.",NA,39,Democrat,Wasco,Male,NA,NA,NA,1868 Session,1868,TRUE
"Simpson, David",NA,29,Republican,Marion,Male,NA,NA,NA,1868 Session,1868,TRUE
"Smith, Thomas",NA,14,Democrat,Jackson,Male,NA,NA,NA,1868 Session,1868,TRUE
"Stiles, T. J.",NA,24,Democrat,Linn,Male,NA,NA,NA,1868 Session,1868,TRUE
"Tandy, E. N.",NA,19,Democrat,Lane,Male,NA,NA,NA,1868 Session,1868,TRUE
"Taylor, John A.",NA,40,Republican,Washington,Male,NA,NA,NA,1868 Session,1868,TRUE
"Townsend, Ira S",NA,35,Democrat,Polk,Male,NA,NA,NA,1868 Session,1868,TRUE
"Trullinger, Daniel P.",NA,5,Republican,"Clackamas, Yamhill",Male,NA,NA,NA,1868 Session,1868,TRUE
"Waymire, Frederick",NA,34,Democrat,Polk,Male,NA,NA,NA,1868 Session,1868,TRUE
"White, J. B.",NA,13,Democrat,Jackson,Male,NA,NA,NA,1868 Session,1868,TRUE
"Whiteaker, John",Speaker,17,Democrat,Lane,Male,NA,NA,NA,1868 Session,1868,TRUE
"Avery, T. W.",NA,40,Democrat,Umatilla,Male,NA,NA,NA,1866 Session,1866,TRUE
"Baird, W. C.",NA,26,Democrat,Linn,Male,NA,NA,NA,1866 Session,1866,TRUE
"Brentz, Thomas H",NA,13,NA,Grant,Male,NA,NA,NA,1866 Session,1866,TRUE
"Chenoweth, F. A.",Speaker,3,Republican,Benton,Male,NA,NA,NA,1866 Session,1866,TRUE
"Cochran, Robert B",NA,21,Democrat,Lane,Male,NA,NA,NA,1866 Session,1866,TRUE
"Cole, James",NA,11,Republican,Douglas,Male,NA,NA,NA,1866 Session,1866,TRUE
"Cox, Isaac",NA,18,Democrat,Josephine,Male,NA,NA,NA,1866 Session,1866,TRUE
"Davis, L. S.",NA,31,Republican,Marion,Male,NA,NA,NA,1866 Session,1866,TRUE
"Day, G. C.",NA,44,Republican,Washington,Male,NA,NA,NA,1866 Session,1866,TRUE
"Dempsey, J. J.",NA,37,Democrat,Polk,Male,NA,NA,NA,1866 Session,1866,TRUE
"Dodge, F. T.",NA,43,NA,Wasco,Male,NA,NA,NA,1866 Session,1866,TRUE
"Foudray, E. D.",NA,15,Democrat,Jackson,Male,NA,NA,NA,1866 Session,1866,TRUE
"Garlick, J. P.",NA,34,Republican,Multnomah,Male,NA,NA,NA,1866 Session,1866,TRUE
"Garrett, J. D.",NA,6,Republican,Clackamas,Male,NA,NA,NA,1866 Session,1866,TRUE
"Gehr, H. A.",NA,41,Democrat,Umatilla,Male,NA,NA,NA,1866 Session,1866,TRUE
"Gingles, James",NA,4,Republican,Benton,Male,NA,NA,NA,1866 Session,1866,TRUE
"Hall, William",NA,38,Democrat,Polk,Male,NA,NA,NA,1866 Session,1866,TRUE
"Helm, George R",NA,23,Democrat,Linn,Male,NA,NA,NA,1866 Session,1866,TRUE
"Hendershott, James",NA,39,Democrat,Union,Male,NA,NA,NA,1866 Session,1866,TRUE
"Herman, Binger",NA,10,Democrat,Douglas,Male,NA,NA,NA,1866 Session,1866,TRUE
"Hindman, W. C.",NA,2,Democrat,"Baker, Union",Male,NA,NA,NA,1866 Session,1866,TRUE
"Hinman, A.",NA,45,Republican,Washington,Male,NA,NA,NA,1866 Session,1866,TRUE
"Humason, Orlando",NA,42,Republican,Wasco,Male,NA,NA,NA,1866 Session,1866,TRUE
"Lamson, J.",NA,47,Republican,Yamhill,Male,NA,NA,NA,1866 Session,1866,TRUE
"Laughlin, Robert R",NA,46,Republican,Yamhill,Male,NA,NA,NA,1866 Session,1866,TRUE
"Locey, J. D.",NA,5,Republican,Clackamas,Male,NA,NA,NA,1866 Session,1866,TRUE
"Lockhart, F. G.",NA,9,Republican,"Coos, Curry",Male,NA,NA,NA,1866 Session,1866,TRUE
"Loring, A. C.",NA,1,Democrat,Baker,Male,NA,NA,NA,1866 Session,1866,TRUE
"McKean, M. M.",NA,14,NA,Grant,Male,NA,NA,NA,1866 Session,1866,TRUE
"Melvin, M. M.",NA,12,Republican,Douglas,Male,NA,NA,NA,1866 Session,1866,TRUE
"Moore, E. B.",NA,22,Democrat,Linn,Male,NA,NA,NA,1866 Session,1866,TRUE
"Nicklin, J. I. O.",NA,27,Republican,Marion,Male,NA,NA,NA,1866 Session,1866,TRUE
"Olney, Cyrus",NA,8,Republican,"Clatsop, Columbia, Tillamook",Male,NA,NA,NA,1866 Session,1866,TRUE
"Parris, W. E.",NA,28,Republican,Marion,Male,NA,NA,NA,1866 Session,1866,TRUE
"Roland, C. B.",NA,29,Republican,Marion,Male,NA,NA,NA,1866 Session,1866,TRUE
"Rosenheim, A.",NA,33,Republican,Multnomah,Male,NA,NA,NA,1866 Session,1866,TRUE
"Ross, John E.",NA,17,Democrat,Jackson,Male,NA,NA,NA,1866 Session,1866,TRUE
"South, S. R.",NA,25,Democrat,Linn,Male,NA,NA,NA,1866 Session,1866,TRUE
"Starkweather, W. A.",NA,7,Republican,Clackamas,Male,NA,NA,NA,1866 Session,1866,TRUE
"Stouffer, J.",NA,36,Republican,Polk,Male,NA,NA,NA,1866 Session,1866,TRUE
"Upton, W. W.",NA,32,Republican,Multnomah,Male,NA,NA,NA,1866 Session,1866,TRUE
"Wells, Giles",NA,16,Democrat,Jackson,Male,NA,NA,NA,1866 Session,1866,TRUE
"White, John S",NA,35,Republican,Multnomah,Male,NA,NA,NA,1866 Session,1866,TRUE
"Whiteaker, John",NA,19,Democrat,Lane,Male,NA,NA,NA,1866 Session,1866,TRUE
"Withers, J. E. P.",NA,20,NA,Lane,Male,NA,NA,NA,1866 Session,1866,TRUE
"Witzel, B. A.",NA,20,Republican,Marion,Male,NA,NA,NA,1866 Session,1866,TRUE
"Worth, J. Q. A.",NA,24,Democrat,Linn,Male,NA,NA,NA,1866 Session,1866,TRUE
"Beall, T. F.",NA,14,Democrat,Jackson,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Borland, A. J.",NA,40,Republican,Umatilla,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Bowlby, W",NA,35,Republican,Washington,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Callison, G",NA,17,Republican,Lane,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Cartwright, J. C.",NA,25,Republican,Marion,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Chaplin, Daniel",NA,2,Republican,Baker,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Colt, Samuel",NA,1,Republican,Baker,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Cox, Isaac",NA,16,Democrat,Josephine,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Fay, James D",NA,13,Democrat,Jackson,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Fisher, Ezra S. S.",NA,7,Republican,Clackamas,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Gillette, P. W.",NA,6,Republican,"Clatsop, Columbia, Tillamook",Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Gingles, James",NA,4,Republican,Benton,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Glass, Robert",NA,20,Republican,Linn,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Hacker, Isiah",NA,5,Republican,"Coos, Curry",Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Hogue, H. A.",NA,34,Republican,Wasco,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Holman, James S",NA,31,Republican,Polk,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Ireland, A.",NA,12,Republican,Douglas,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Lane, L. F.",NA,33,Democrat,Umatilla,Male,NA,NA,NA,1865 Special Session,1865,FALSE
"Lawson, George W",NA,37,Republican,Yamhill,Male,NA,NA,NA,1865 Special Session,1865,FALSE
